rank,release,gross,theaters,total_gross,release_date,distributor,release_month,release_quarter
21,Puss in Boots: The Last Wish,"$130,425,380",4121,"$186,090,535",2023-12-21,Universal Pictures,12,4
22,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$118,613,586",3950,"$118,613,586",2023-08-02,Paramount Pictures,8,3
23,Scream VI,"$108,161,389",3676,"$108,161,389",2023-03-10,Paramount Pictures,3,1
24,The Flash,"$108,133,313",4256,"$108,133,313",2023-06-16,Warner Bros.,6,2
25,Trolls Band Together,"$96,370,205",3893,"$102,501,455",2023-11-17,Universal Pictures,11,4
26,M3GAN,"$95,159,005",3628,"$95,159,005",2023-01-06,Universal Pictures,1,1
27,Dungeons & Dragons: Honor Among Thieves,"$93,277,026",3856,"$93,277,026",2023-03-31,Paramount Pictures,3,1
28,The Equalizer 3,"$92,373,751",3965,"$92,373,751",2023-09-01,Columbia Pictures,9,3
29,The Nun II,"$86,267,073",3743,"$86,267,073",2023-09-08,Warner Bros.,9,3
30,The Marvels,"$84,479,155",4030,"$84,500,223",2023-11-10,Walt Disney Studios Motion Pictures,11,4
31,Meg 2: The Trench,"$82,600,317",3604,"$82,600,317",2023-08-04,Warner Bros.,8,3
32,Insidious: The Red Door,"$82,156,962",3188,"$82,156,962",2023-07-07,Screen Gems,7,3
33,Aquaman and the Lost Kingdom,"$76,469,713",3787,"$120,788,619",2023-12-22,Warner Bros.,12,4
34,Blue Beetle,"$72,488,072",3871,"$72,488,072",2023-08-18,Warner Bros.,8,3
35,Haunted Mansion,"$67,653,287",3740,"$67,653,287",2023-07-28,Walt Disney Studios Motion Pictures,7,3
36,Killers of the Flower Moon,"$67,292,161",3786,"$67,729,778",2023-10-20,Paramount Pictures,10,4
37,Evil Dead Rise,"$67,233,054",3417,"$67,233,054",2023-04-21,Warner Bros.,4,2
38,The Exorcist: Believer,"$65,537,395",3684,"$65,537,395",2023-10-06,Universal Pictures,10,4
39,PAW Patrol: The Mighty Movie,"$65,231,360",4027,"$65,231,360",2023-09-29,Paramount Pictures,9,3
40,Cocaine Bear,"$64,670,240",3571,"$64,670,240",2023-02-24,Universal Pictures,2,1
41,A Man Called Otto,"$64,228,358",3957,"$64,267,657",2023-12-30,Columbia Pictures,12,4
42,Wish,"$60,609,147",3900,"$63,541,825",2023-11-22,Walt Disney Studios Motion Pictures,11,4
43,Napoleon,"$60,512,228",3500,"$61,493,563",2023-11-22,Columbia Pictures,11,4
44,Shazam! Fury of the Gods,"$57,638,006",4071,"$57,638,006",2023-03-17,Warner Bros.,3,1
45,Migration,"$54,103,955",3839,"$102,069,285",2023-12-22,Universal Pictures,12,4
46,Saw X,"$53,607,898",3262,"$53,607,898",2023-09-29,Lions Gate Films,9,3
47,Air,"$52,460,106",3507,"$52,460,106",2023-04-05,-,4,2
48,Jesus Revolution,"$52,102,987",2575,"$52,102,987",2023-02-24,Lions Gate Films,2,1
49,No Hard Feelings,"$50,452,282",3208,"$50,452,282",2023-06-23,Sony Pictures Releasing,6,2
50,Talk to Me,"$48,299,436",2379,"$48,299,436",2023-07-28,A24,7,3
51,Godzilla Minus One,"$45,580,412",2622,"$56,418,793",2023-12-01,-,12,4
52,Gran Turismo,"$44,428,554",3856,"$44,428,554",2023-08-25,Sony Pictures Releasing,8,3
53,The Color Purple,"$44,047,642",3218,"$60,153,622",2023-12-25,Warner Bros.,12,4
54,The Boogeyman,"$43,244,282",3205,"$43,244,282",2023-06-02,Walt Disney Studios Motion Pictures,6,2
55,A Haunting in Venice,"$42,471,412",3305,"$42,471,412",2023-09-15,Walt Disney Studios Motion Pictures,9,3
56,The Creator,"$40,774,679",3680,"$40,774,679",2023-09-29,Walt Disney Studios Motion Pictures,9,3
57,80 for Brady,"$39,330,588",3939,"$39,330,588",2023-02-03,Paramount Pictures,2,1
58,The Boy and the Heron,"$35,846,555",2325,"$44,506,374",2023-12-08,GKIDS,12,4
59,Knock at the Cabin,"$35,397,980",3657,"$35,397,980",2023-02-03,Universal Pictures,2,1
60,Renaissance: A Film by Beyoncé,"$33,223,373",2542,"$33,889,684",2023-12-01,-,12,4
